LOMAKE;K1A1;K1A2;K1A2L;K1A3;K1A3L;K1A4;K1A5;K1A6;K1A8L;K1B;K2A1;K2A2;K2A3;K2A4;K2A5;K2A6;K2A8;K2A9;K3A1;K3A2;K3A3;K3A4;K3A5;K3A6;K3A7;K3A8;K3A9;K3A10;K3A11;K3A12;K3A13;K3A14;K3A15;K4A1L;K4A2L;K4A3L;K4A4L;K3B;T1;T1L;T2;T20L;T21A;T21B;T21C;T21D;T3A;T3B;T3C;T3D;T4A;T4A1;T4A2;T4B1;T4B2;T4C;T4D;T4E;T4F;T4G;T5A;T5B;T5C;T5D;T5E;T5S;T5U;T6;T7;T8;T9A;T9B;T9C;T9D;T9E;T9F;T9G;T9H;T10;T11;T12;T13;T14;T15;JUNA_ASEMA;LAHTOLAITURI;LINJA;LIIKENNEMUOTO;ALUE;SUUNTA;VAUNUTYYPPI;VAUNUNRO;ALUS;TASTE;SAA;PAIVAMAARA;KAUSI;JOKERI;TUTKIJA;KIELI;KOHDE;LIIKENNOITSIJA;PAINO
445555;5;4;;5;;5;4;5;;5;5;5;5;5;4;5;;;;;;;;;;;5;4;2;2;;;;;;;;5;4;;2;;;;;;;;1;;;;;;;;;;;;1;;;;;;;1;1963;2;;1;;;;;;;91;;;1;2;2;;;10;1;91;1;;122;;1;2;1.8.2014 9:11;2;;5776;1;RV;HKL;164.973411839078
445556;5;;;4;;;4;4;;4;5;5;5;5;4;5;;;;;;;;;;;;4;;3;;;;;;;;5;1;;1;;;;;;1;;;;;;;;;;;;;;;1;;;;;;1;1972;2;;;1;;;;;;91;;;3;3;2;;;10;1;91;1;;122;;1;2;1.8.2014 9:11;2;;5776;1;RV;HKL;164.973411839078
445557;;;;;;;;;;4;5;5;5;3;5;4;;;;;;;;;;;5;5;;;;;;;;;;5;2;;2;;;;;;;;;1;;;;;;;;;;;1;;;;;;;2;1971;1;;;1;;;;;;91;;;4;3;2;;;10;1;91;1;;122;;1;2;1.8.2014 9:11;2;;5776;1;RV;HKL;164.973411839078
445558;4;5;;4;;5;4;5;;5;5;5;5;5;4;4;;;;;;;;;;;5;5;1;1;;;;;;;;4;1;;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;2;1983;2;;;1;;;;;;91;;;2;2;2;;;10;1;91;1;;122;;1;2;1.8.2014 9:11;2;;5776;1;RV;HKL;164.973411839078
445559;5;5;;5;;5;4;5;;5;5;5;5;5;5;5;;;;;;;;;;;4;4;2;;;;;;;;;5;4;;1;;;;;;1;;;;;;;;;;;;;;;1;;;;;;1;1957;2;;1;;;;;;;1;;;1;3;2;;;10;1;91;1;;122;;1;2;1.8.2014 9:11;2;;5776;1;RV;HKL;164.973411839078
445560;;;;5;;5;5;5;;5;5;5;5;5;4;5;;;;;;;;;;;3;4;2;2;;;;;;;;4;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1985;2;1;;;;;;;;91;;;1;1;2;;;8;1;91;2;;216;;2;2;1.8.2014 8:28;2;;5776;1;RV;HKL;148.482876482736
445561;4;5;;5;;4;4;5;;4;5;5;4;5;3;4;;;;;;;;;;;4;3;4;5;;;;;;;;5;1;;3;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1963;2;;1;;;;;;;91;;;1;1;2;;;8;1;91;2;;216;;2;2;1.8.2014 8:28;2;;5776;1;RV;HKL;148.482876482736
445562;;;;5;;4;4;4;;4;5;5;5;5;4;4;;;;;;;;;;;5;5;2;2;;;;;;;;4;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1982;2;1;;;;;;;;91;;;1;1;2;;;8;1;91;2;;216;;2;2;1.8.2014 8:28;2;;5776;1;RV;HKL;148.482876482736
445563;3;3;;4;;4;3;3;;3;4;4;5;4;5;5;;;;;;;;;;;4;3;1;1;;;;;;;;3;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1967;2;1;;;;;;;;91;;;1;2;2;;;8;1;91;2;;216;;2;2;1.8.2014 8:28;2;;5776;1;RV;HKL;148.482876482736
445564;5;5;;5;;5;5;5;;5;5;5;5;5;4;5;;;;;;;;;;;5;4;1;1;;;;;;;;5;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1958;1;;1;;;;;;;91;;;1;1;2;;;7B;1;91;1;;113;;1;2;1.8.2014 8:18;2;;5776;1;RV;HKL;103.780265954414
445565;4;5;;4;;3;3;3;;3;5;5;5;5;4;3;;;;;;;;;;;5;4;1;1;;;;;;;;4;1;;1;;;;;;1;;;;;;;;;;;;;;;1;;;;;;1;1963;1;1;;;;;;;;91;;;1;1;2;;;7B;1;91;1;;113;;1;2;1.8.2014 8:18;2;;5776;1;RV;HKL;103.780265954414
445566;;4;;3;;5;5;5;;4;4;5;4;5;3;5;;;;;;;;;;;3;;4;5;;;;;;;;4;2;;2;;;;;;1;;;;;;;;;;;;;;;;;1;;;;2;1973;1;;;1;;;;;;1;;;2;2;2;;;7B;1;91;1;;113;;1;2;1.8.2014 8:18;2;;5776;1;RV;HKL;103.780265954414
445567;;;;5;;5;4;4;;4;5;5;5;;5;5;;;;;;;;;;;5;5;1;1;;;;;;;;4;4;;2;;;;;;;;;1;;;;;;;;;;;;1;;;;;;1;1981;2;1;;;;;;;;1;;;3;3;2;;;7B;1;91;1;;113;;1;2;1.8.2014 8:18;2;;5776;1;RV;HKL;103.780265954414
445568;;;;4;;4;5;5;;4;5;4;4;4;5;4;;;;;;;;;;;4;4;1;1;;;;;;;;4;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;2;1987;2;1;;;;;;;;91;;;1;1;2;;;8;1;91;2;;216;;2;2;1.8.2014 8:28;2;;5776;1;RV;HKL;148.482876482736
445569;4;4;;4;;3;3;4;;4;5;5;4;4;5;4;;;;;;;;;;;4;3;1;1;;;;;;;;4;3;;2;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1;1983;2;1;;;1;;;;;91;;;1;1;2;;;8;1;91;2;;216;;2;2;1.8.2014 8:28;2;;5776;1;RV;HKL;148.482876482736
445570;5;5;;5;;5;5;4;;5;5;5;5;5;5;5;;;;;;;;;;;4;5;;;;;;;;;;5;1;;1;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1954;1;;1;;;;;;;91;;;1;2;2;;;1A;1;91;2;;217;;1;2;1.8.2014 8:03;2;;5776;1;RV;HKL;51.6327373478097
445571;;;;4;;4;3;3;;4;4;5;3;3;4;5;;;;;;;;;;;4;3;2;2;;;;;;;;5;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1985;2;;1;;;;;;;91;;;1;1;2;;;1A;1;91;2;;217;;1;2;1.8.2014 8:03;2;;5776;1;RV;HKL;51.6327373478097
445572;4;5;;5;;4;5;5;;5;5;5;5;5;5;5;;;;;;;;;;;4;4;3;3;;;;;;;;4;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1973;2;;1;;;;;;;91;;;2;2;2;;;1A;1;91;2;;217;;1;2;1.8.2014 8:03;2;;5776;1;RV;HKL;51.6327373478097
445573;4;4;;4;;3;4;4;;4;4;4;5;5;4;2;;;;;;;;;;;4;4;1;1;;;;;;;;4;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1977;2;;1;;;;;;;91;;;1;1;2;;;1A;1;91;2;;217;;1;2;1.8.2014 8:03;2;;5776;1;RV;HKL;51.6327373478097
445574;5;5;;5;;;3;2;;4;;5;5;;4;2;;;;;;;;;;;4;4;1;1;;;;;;;;5;2;;2;;;;;;1;;;;;;;;;;;;;;;1;;;;;;1;1983;1;1;;;;;;;;91;;;2;3;2;;;1A;1;91;2;;217;;1;2;1.8.2014 8:03;2;;5776;1;RV;HKL;51.6327373478097
445575;4;5;;4;;4;4;5;;5;5;5;5;5;5;5;;;;;;;;;;;5;5;;;;;;;;;;5;1;;1;;;;;;1;;;;;;;;;;;;;;;1;;;;;;1;1970;2;1;;;;;;;;91;;;2;2;2;;;1A;1;91;2;;217;;1;2;1.8.2014 8:03;2;;5776;1;RV;HKL;51.6327373478097
445576;4;3;;4;;4;3;5;;5;5;5;5;5;4;4;;;;;;;;;;;4;4;3;3;;;;;;;;4;2;;2;;;;;;1;;1;;;;;;;;;;;;1;;;;;;;1;1977;2;1;;;;;;;;91;;;1;1;2;;;9;1;91;1;;402;;1;2;1.8.2014 7:53;2;;5776;1;RV;HKL;153.227498187483
445577;4;4;;5;;5;5;5;;5;4;5;4;4;5;4;;;;;;;;;;;5;4;2;2;;;;;;;;4;2;;2;;;;;;1;;;;;;;;;;;;;;;1;;;;;;2;1961;1;;1;;;;;;;49;;;1;2;2;;;9;1;91;1;;402;;1;2;1.8.2014 7:53;2;;5776;1;RV;HKL;153.227498187483
